itemID,quantity,absHour,price,studGroup,tID,rating
2,4,17,8.0,F2,1,4
2,5,17,8.0,F2,2,1
15,1,18,35.0,F4,1,4
18,1,18,55.0,F4,2,3
45,1,17,10.0,F3,1,3
74,1,17,25.0,F2,1,2
74,1,17,25.0,F2,2,2
76,1,17,30.0,F2,1,4
76,1,17,30.0,F3,1,3
108,1,17,20.0,F2,3,2
123,1,17,8.0,F2,2,5
123,1,17,8.0,F2,2,2
123,1,17,8.0,F3,2,1
123,1,17,8.0,F2,2,4
123,1,17,8.0,F3,2,1
123,1,17,8.0,F4,2,4
123,1,17,8.0,F2,2,4
123,2,17,8.0,F2,1,4
123,2,17,8.0,F4,2,5
123,2,17,8.0,F2,1,2
123,2,17,8.0,F1,2,1
160,1,17,25.0,F4,1,2
169,1,17,25.0,F2,1,4
170,1,17,20.0,F2,2,1
170,2,17,20.0,F3,1,5
179,1,17,23.0,F3,2,3
2,1,17,8.0,F2,1,3
2,1,17,8.0,F3,1,2
2,1,17,8.0,F3,2,4
2,1,17,8.0,F3,1,4
2,1,17,8.0,F4,1,4
2,1,17,8.0,F3,1,3
2,2,17,8.0,F3,1,3
2,2,17,8.0,F2,1,1
2,2,17,8.0,F2,1,4
2,2,17,8.0,F6,2,4
2,2,17,8.0,F2,1,4
2,2,17,8.0,F2,1,4
2,2,17,8.0,F2,1,1
2,2,17,8.0,F1,1,2
2,2,17,8.0,F3,1,3
2,4,17,8.0,F2,1,2
20,4,17,25.0,F4,1,1
21,1,17,30.0,F3,3,4
22,1,17,15.0,F2,1,3
22,3,17,15.0,F4,2,3
25,1,17,10.0,F4,2,3
26,1,17,5.0,F2,2,4
26,1,17,5.0,F2,2,4
26,2,17,5.0,F3,1,4
76,1,17,30.0,F2,2,3
76,1,17,30.0,F2,5,5
76,1,17,30.0,F2,2,2
76,1,17,30.0,F2,2,3
76,1,17,30.0,F2,1,3
76,1,17,30.0,F3,1,4
107,1,17,10.0,F2,4,5
107,2,17,10.0,F2,1,5
108,1,17,20.0,F4,1,1
123,1,17,8.0,F2,1,3
123,1,17,8.0,F3,1,1
123,1,17,8.0,F2,2,3
123,1,17,8.0,F2,3,4
123,1,17,8.0,F3,2,1
123,1,17,8.0,F6,1,1
123,1,17,8.0,F3,1,2
123,1,17,8.0,F2,1,2
123,1,17,8.0,F2,2,2
123,1,17,8.0,F2,2,3
123,4,17,8.0,F2,2,4
156,1,17,30.0,F2,3,4
160,1,18,25.0,F3,1,1
163,1,17,20.0,F4,1,1
169,1,17,25.0,F3,2,3
179,1,17,23.0,F2,1,1
185,2,17,25.0,F3,2,3
2,1,17,8.0,F3,1,4
2,1,17,8.0,F3,1,3
2,1,17,8.0,F0,2,2
2,1,17,8.0,F3,1,3
2,1,17,8.0,F0,1,2
2,1,17,8.0,F0,1,5
2,1,17,8.0,F2,1,2
2,1,17,8.0,F2,1,5
2,2,17,8.0,F2,1,3
2,2,17,8.0,F3,1,2
2,2,17,8.0,F2,1,4
2,2,17,8.0,F2,1,2
2,2,17,8.0,H1,1,4
2,2,17,8.0,F3,1,1
2,2,17,8.0,F0,1,1
2,2,17,8.0,F2,1,2
2,2,17,8.0,F4,1,4
2,2,17,8.0,F2,1,2
2,3,17,8.0,F2,1,2
15,1,17,35.0,F4,1,4
107,1,17,10.0,F2,2,5
108,1,17,20.0,F4,1,5
123,1,17,8.0,F2,1,4
123,1,17,8.0,F2,1,3
123,1,17,8.0,F2,2,2
123,1,17,8.0,F3,2,2
123,1,17,8.0,F3,2,2
123,1,17,8.0,F2,2,5
123,1,17,8.0,F2,2,5
123,1,17,8.0,F2,2,3
123,2,17,8.0,F2,1,1
123,3,17,8.0,F2,1,2
123,5,17,8.0,F0,1,5
160,1,18,25.0,F1,1,2
160,1,17,25.0,F2,1,1
163,1,17,20.0,F4,1,2
169,1,17,25.0,F2,2,2
169,1,17,25.0,F3,2,4
169,1,17,25.0,F3,2,4
169,1,17,25.0,F2,1,3
179,1,17,23.0,F2,2,4
2,1,17,8.0,F2,1,1
2,1,17,8.0,F3,1,5
2,1,17,8.0,F3,1,4
2,1,17,8.0,F2,2,2
2,1,17,8.0,F3,1,3
2,1,17,8.0,F2,1,5
2,2,17,8.0,F2,1,3
2,2,17,8.0,F3,1,5
2,2,17,8.0,F2,1,2
2,2,17,8.0,F3,1,2
2,2,17,8.0,F2,1,5
2,2,17,8.0,F3,1,3
2,2,17,8.0,F2,1,1
2,2,17,8.0,F2,1,3
2,2,17,8.0,F3,1,3
2,7,17,8.0,F2,1,3
20,1,17,25.0,F4,1,4
25,1,17,10.0,F4,2,2
74,1,17,25.0,F2,1,1
76,1,17,30.0,F4,4,1
76,1,17,30.0,F3,1,5
76,1,17,30.0,F2,1,2
76,1,17,30.0,F0,2,5
