"('F4257', 27)","['76', '108', '167']"
"('H1210', 3)","['134', '129']"
"('F2453', 6)","['123', '169', '93', '123', '2']"
"('F2247', 7)","['124', '165']"
"('F4190', 3)",['108']
"('F2717', 8)","['141', '76', '108']"
"('F2066', 11)","['128', '134', '130']"
"('F2115', 9)","['134', '134']"
"('F3887', 4)","['21', '108', '151', '164', '12', '169']"
"('F2736', 3)",['1']
"('F3215', 5)",['76']
"('F4771', 11)","['15', '160', '26']"
"('F1042', 4)","['2', '15', '142']"
"('F3179', 13)","['141', '15', '107']"
"('F2698', 8)","['154', '146', '124', '151', '154', '164', '130', '15', '151', '154', '188', '15', '154', '154', '15', '15']"
"('F2273', 1)",['19']
"('F3086', 4)","['2', '188']"
"('F3521', 3)","['12', '124']"
"('F3219', 9)",['142']
"('F1185', 1)",['130']
"('F4860', 8)",['188']
"('F5475', 1)",['130']
"('F3248', 1)","['134', '76']"
"('F4312', 4)","['76', '128']"
"('F3049', 15)",['76']
"('F1292', 1)","['142', '134']"
"('F2806', 5)",['142']
"('F2682', 13)","['132', '169', '142', '142']"
"('F3257', 10)","['134', '139', '146', '151', '76']"
"('F3273', 7)","['93', '195']"
"('F1041', 1)",['15']
"('F2544', 9)",['142']
"('F2177', 12)","['141', '142']"
"('F1296', 1)","['130', '132', '138', '1', '132', '154', '154']"
