"('F3644', 5)","['146', '151', '161']"
"('F3857', 3)",['132']
"('F4599', 2)","['154', '12', '157']"
"('F4040', 4)","['139', '170']"
"('F5545', 8)","['107', '170']"
"('F2588', 2)",['161']
"('F2151', 7)","['50', '170']"
"('F3633', 3)","['140', '156']"
"('H1099', 1)",['161']
"('F2327', 9)","['124', '107']"
"('H1279', 1)",['159']
"('H1265', 3)",['132']
"('F3754', 1)",['134']
"('F2209', 5)","['12', '26', '26', '107', '138', '155', '156', '157']"
"('F3398', 1)",['128']
"('F2021', 4)",['2']
"('F2794', 1)","['128', '134']"
"('F2246', 3)","['128', '154', '156', '128', '151', '156', '161', '15']"
"('F3803', 2)","['130', '154']"
"('F2376', 4)","['128', '170']"
"('F4513', 1)","['164', '156']"
"('F4505', 7)","['132', '163']"
"('F2629', 2)","['128', '128']"
"('F2088', 4)","['138', '161']"
"('F4697', 2)","['146', '151', '21', '151', '156', '159']"
"('F2155', 4)","['45', '155']"
"('F3614', 1)","['130', '128', '132', '161']"
"('F4521', 7)","['151', '156']"
"('F2651', 3)",['136']
"('F4108', 2)","['2', '146', '151', '146', '151', '164', '155', '161']"
"('F2423', 4)","['15', '19', '123']"
