"('F2753', 11)","['151', '164']"
"('H1250', 1)",['164']
"('F3115', 9)","['139', '154']"
"('F2680', 20)","['135', '169']"
"('F2234', 7)",['22']
"('F4321', 7)","['14', '124']"
"('F2129', 1)","['128', '161', '182']"
"('F2171', 1)","['22', '134', '169', '100']"
"('F2551', 24)","['128', '154']"
"('F1617', 20)",['169']
"('F3748', 8)","['74', '128', '187']"
"('F4399', 15)",['129']
"('F3716', 8)",['14']
"('F2749', 26)","['2', '76', '187']"
"('F2637', 18)",['76']
"('H2019', 6)","['134', '26', '128']"
"('F4793', 17)","['192', '108']"
"('F4201', 11)","['50', '134', '175']"
"('F3817', 8)","['131', '188', '154']"
"('F2411', 12)",['171']
"('F2607', 6)",['2']
"('F3390', 3)","['142', '148']"
"('F4404', 7)","['159', '169', '187', '100']"
"('F2239', 21)",['2']
"('F1367', 6)","['169', '187', '169']"
"('F4036', 13)","['25', '26', '161', '168', '76']"
"('F3418', 7)",['130']
"('F3566', 6)","['134', '76', '154', '50']"
"('F3543', 5)","['151', '154', '164']"
"('F2288', 11)",['2']
"('F2084', 7)","['74', '128']"
"('H1116', 8)",['93']
"('F1326', 4)",['12']
"('F4543', 16)",['156']
"('F3567', 4)",['142']
"('F3169', 7)","['128', '154', '134', '154']"
"('F4480', 1)","['76', '141']"
"('F4696', 7)","['74', '100', '107', '128']"
"('F2382', 15)",['2']
"('F2986', 1)","['128', '134']"
"('F2735', 1)","['26', '76', '169']"
"('F4190', 5)","['128', '50']"
"('F3713', 19)","['128', '107', '156']"
"('F1402', 1)",['93']
"('F3273', 9)","['15', '193']"
"('F5737', 11)","['128', '156', '173']"
"('F3797', 8)","['169', '178']"
"('F2469', 15)",['76']
"('F3855', 12)","['128', '154', '15']"
"('F5015', 6)",['128']
"('F2496', 13)","['138', '134', '134']"
"('F4329', 5)",['26']
"('F4627', 15)","['93', '100', '168']"
"('F2166', 6)",['128']
"('F1264', 2)","['151', '164', '93', '151', '154', '76', '76', '169']"
"('F3754', 16)","['107', '123', '2']"
"('F3624', 5)","['76', '142']"
"('F2503', 18)",['2']
"('F3547', 3)","['142', '169', '186']"
"('F3365', 1)",['14']
"('F2689', 7)","['26', '128', '187']"
"('F1405', 6)","['139', '128', '130']"
"('F3589', 13)","['151', '164', '164', '151', '164', '151', '164', '76', '140', '128', '151', '164', '15', '22', '169', '76', '151', '154', '164', '169', '169', '154', '193', '76', '161', '173', '193']"
"('F3620', 5)","['74', '107', '128', '128', '146', '151', '154', '12', '107', '107']"
"('F2456', 30)",['132']
"('F2747', 13)","['76', '134', '188', '161']"
"('F3135', 3)",['148']
"('F1401', 4)","['1', '128', '156', '134', '128']"
"('F1322', 2)","['142', '154']"
"('F4606', 1)","['46', '128', '187']"
"('F2414', 3)","['134', '26']"
"('F2110', 19)","['50', '76', '172']"
"('F1719', 4)","['74', '107']"
"('F3553', 1)","['107', '107', '156']"
"('F4733', 8)","['151', '154']"
"('H1114', 5)",['142']
"('F2623', 2)",['134']
"('F3182', 3)",['128']
"('F2383', 10)","['156', '142', '154']"
"('F1511', 12)",['170']
"('F4262', 4)","['142', '76', '176']"
"('F2231', 23)","['146', '151', '164', '193']"
"('F3232', 13)","['76', '124']"
"('F2355', 3)","['124', '124']"
"('F1048', 10)","['130', '170']"
"('F1191', 18)","['124', '169']"
"('F2373', 7)","['129', '154']"
"('F2503', 4)","['12', '151']"
"('F3104', 5)","['142', '128', '154']"
"('F4505', 17)","['2', '108', '123']"
"('F2682', 8)","['169', '128']"
"('F2172', 13)","['134', '135', '169', '26']"
"('F3303', 4)","['128', '156']"
"('F4463', 9)","['142', '142', '154', '15', '155']"
"('F2006', 19)","['169', '140']"
"('F3270', 2)","['188', '123']"
"('F2589', 1)",['154']
"('F2251', 11)","['134', '169']"
"('F2490', 2)","['21', '182']"
"('F3098', 1)","['2', '2']"
"('F2666', 6)","['107', '154', '170', '100', '128']"
"('F1576', 11)",['134']
"('F2613', 9)","['138', '154', '155', '187']"
"('F2146', 11)",['134']
"('F1288', 11)",['2']
"('F4306', 15)","['151', '154']"
"('F3070', 2)","['134', '169']"
"('F2502', 5)","['128', '129', '154']"
"('F4364', 7)",['193']
"('F2104', 11)","['21', '50']"
"('F3700', 3)","['20', '155']"
"('F3283', 23)",['146']
"('F2375', 9)","['74', '134']"
"('F2629', 6)",['76']
"('F2036', 3)","['2', '123', '74']"
"('F3627', 8)","['154', '134', '154']"
"('F4147', 12)","['108', '130']"
"('F3893', 6)","['74', '130']"
"('H1014', 3)",['159']
"('H1257', 5)","['151', '166', '12']"
"('F1704', 3)","['128', '154', '154', '155']"
"('F3605', 7)","['128', '154']"
"('F4499', 3)","['142', '160', '142']"
"('F4429', 12)","['134', '154', '74', '191']"
"('F3463', 27)",['169']
"('F4256', 13)","['76', '146', '151', '166', '169', '15', '108', '176', '20', '108', '168']"
"('F1562', 5)","['128', '156']"
"('F3347', 3)","['130', '155', '156']"
"('F1211', 3)","['2', '123', '108']"
"('F3767', 5)","['76', '154', '154', '1', '1', '76', '20']"
"('F1070', 3)",['2']
"('F4444', 5)","['108', '154']"
"('F3572', 8)","['2', '187']"
"('F5808', 4)",['178']
"('H2144', 3)","['146', '151', '154']"
"('F1788', 7)","['26', '135', '76']"
"('F4274', 8)","['74', '178', '108']"
"('F4163', 2)","['128', '134']"
"('F3326', 2)","['12', '154']"
"('F1386', 9)","['128', '128', '154']"
"('F2232', 11)","['169', '130', '169']"
"('F4374', 22)","['141', '128', '169', '187']"
"('F3130', 12)","['128', '154']"
"('F3219', 23)",['175']
"('F1063', 8)","['188', '26']"
"('F3352', 8)",['20']
"('F3005', 11)","['107', '154']"
"('F2173', 38)","['12', '154', '76', '169']"
"('F3011', 1)",['134']
"('F3766', 5)",['138']
"('F1307', 2)","['134', '154']"
"('F2808', 21)","['20', '93']"
"('F2169', 23)","['50', '193']"
"('F2159', 8)","['142', '76']"
"('F4255', 17)","['76', '169']"
"('F4705', 7)","['76', '182']"
"('F1316', 1)","['74', '188', '74']"
"('F2266', 3)","['182', '187']"
"('F1178', 1)","['12', '134']"
"('F2695', 4)","['93', '154']"
"('F4502', 5)","['76', '142']"
"('F2520', 10)","['128', '154']"
"('F4271', 2)","['128', '154']"
"('F3315', 6)","['156', '187']"
"('F1592', 3)","['151', '156']"
"('F2300', 16)",['169']
"('F3110', 20)","['76', '146', '151', '76', '146', '151', '164', '76', '151', '164', '146', '151', '154', '146', '151', '154', '177', '76', '76', '151', '154', '177', '146', '151', '151', '154', '164', '146', '151', '146', '151', '156', '164', '128', '154', '188', '155', '156', '15', '76', '128', '154', '15', '154', '156', '22', '154', '154', '169', '22', '22', '171', '76', '130', '134', '146', '151', '154']"
"('F3517', 1)",['128']
"('F3404', 4)","['142', '187', '142', '175']"
"('F2383', 4)","['2', '179']"
"('F3050', 7)","['1', '128', '128']"
"('F3171', 2)","['146', '14']"
"('F2590', 8)",['169']
"('F3616', 2)","['182', '128']"
"('F1816', 2)","['20', '169']"
"('F4531', 2)","['74', '128', '187']"
"('F3018', 6)",['76']
"('F2018', 18)",['138']
"('F2276', 14)",['159']
"('F4201', 4)",['76']
"('F2227', 6)","['128', '190']"
"('F4802', 20)","['154', '1', '25', '190']"
"('F4554', 11)","['12', '107', '161']"
"('F4190', 4)","['1', '50']"
"('H1118', 1)",['76']
"('F4814', 10)",['142']
"('F2727', 1)","['46', '76', '128', '154', '139']"
"('F1770', 9)","['138', '169', '12']"
"('F2795', 25)",['169']
"('F2231', 16)","['146', '169']"
"('F2806', 13)","['134', '15', '76', '173']"
"('F4224', 14)",['154']
"('F4066', 11)","['156', '190']"
"('F4599', 13)",['2']
"('F3600', 9)","['25', '142', '169', '50', '169']"
"('F2140', 23)","['134', '170']"
"('F3498', 18)","['108', '124', '15']"
"('F4690', 5)","['192', '134']"
"('F1268', 1)","['142', '134']"
"('F4721', 22)","['128', '169', '182']"
"('F3501', 5)",['129']
"('F1177', 4)",['128']
"('F4246', 15)","['128', '128', '155', '128', '154', '100']"
"('F3816', 4)",['108']
"('F2645', 3)","['22', '135', '160', '161']"
"('F2199', 19)","['108', '128']"
"('F3110', 21)","['142', '142']"
"('F2349', 7)",['76']
"('F3892', 10)","['124', '169', '124']"
"('F3858', 2)","['134', '169', '170', '175', '187']"
"('F2143', 12)",['134']
"('H1056', 1)",['128']
"('F5466', 15)","['25', '190']"
"('F2136', 1)","['128', '154', '170']"
"('F2199', 18)","['108', '128']"
"('F2480', 1)","['26', '169']"
"('F4632', 18)","['141', '142', '193']"
"('F3297', 3)","['142', '187']"
"('F2127', 6)",['151']
"('F1826', 1)",['154']
"('F0000', 27)","['2', '123', '2', '2', '2', '2']"
"('F2368', 3)",['2']
"('F1673', 9)","['141', '154']"
"('F4245', 1)",['76']
"('F5810', 3)","['169', '188', '169']"
"('F2085', 1)",['169']
"('F3140', 4)","['128', '154', '178']"
"('F4782', 14)",['134']
"('F3661', 9)","['155', '156']"
"('F3527', 14)",['155']
"('H1030', 4)",['130']
"('F3362', 11)","['134', '142', '129', '140', '173']"
"('F2371', 19)",['108']
"('F3538', 16)",['2']
"('F3574', 4)","['12', '154', '20']"
"('F2506', 3)","['76', '128', '130', '134']"
"('F2078', 14)",['21']
"('F2380', 8)","['130', '169', '154', '169']"
"('F1400', 1)","['2', '2']"
"('F4842', 10)","['15', '93', '108']"
"('F4263', 1)","['18', '76']"
"('F4005', 3)",['108']
"('F3242', 3)","['2', '179']"
"('H2226', 3)","['151', '164', '177', '154']"
"('F3785', 4)",['2']
"('F3175', 8)","['154', '154', '169']"
"('F2267', 4)",['169']
"('F3057', 9)",['15']
"('F1714', 5)","['76', '2']"
"('F3525', 6)",['142']
"('F3410', 6)","['124', '169', '187', '190', '15', '22', '193']"
"('F2087', 2)","['128', '154']"
"('F3889', 1)",['146']
"('F4218', 2)","['169', '190']"
"('F4659', 1)","['100', '169']"
"('F3144', 4)",['140']
"('F2657', 4)",['155']
"('H2238', 1)","['74', '74']"
"('F2710', 4)","['2', '179']"
"('F4032', 1)","['164', '128', '154']"
"('F3007', 5)","['22', '128', '169']"
"('F2504', 11)",['128']
"('H2140', 2)","['135', '155', '22']"
"('F3247', 9)","['21', '128', '135', '157']"
"('F4772', 15)",['134']
"('F1418', 17)",['173']
"('F2097', 3)",['178']
"('F4442', 16)","['135', '138', '156']"
"('F2571', 16)",['169']
"('F3494', 6)","['130', '154']"
"('F1582', 1)","['139', '128', '169']"
"('F4363', 1)","['134', '135', '128']"
"('F2558', 1)",['2']
"('F4203', 5)","['108', '134', '142', '50', '76']"
"('F1509', 11)",['76']
"('F3554', 6)","['12', '21', '142', '154', '21', '154', '74']"
"('F3756', 1)","['169', '139', '161', '169']"
"('F3677', 3)","['130', '133']"
"('F4675', 27)",['169']
"('F4697', 11)","['123', '169', '2']"
"('F1034', 1)","['2', '18', '100']"
"('F3311', 8)",['134']
