4,1783,['2']
1,637,"['1', '2', '1', '1', '2', '3', '1', '1', '2', '3', '1', '2', '3', '1', '1', '1', '1', '1', '2']"
6,824,['1']
1,1932,"['1', '1', '1', '2', '3', '1', '1', '2', '3', '4', '2', '3', '4', '5', '1', '1', '1']"
1,1174,"['1', '2', '3', '1', '2', '3', '4', '5', '1', '2', '1', '2', '1', '2', '1', '2', '3', '1', '1', '1', '1']"
1,161,"['1', '1', '2', '1', '2', '1', '1', '1', '1', '2', '3', '1', '2', '2', '3', '1']"
2,2063,"['1', '2']"
2,825,"['1', '2', '1', '1']"
1,1858,"['1', '2', '1', '1', '1', '1', '1', '1', '1']"
2,776,"['1', '1']"
2,2031,['1']
1,1898,"['1', '2', '3', '1', '1', '1', '1', '1', '1', '1']"
2,515,"['2', '2', '1']"
5,404,['2']
2,385,"['2', '2', '1']"
1,446,"['2', '3', '1', '1', '3', '1', '1', '2', '1', '1', '2', '1', '2', '1', '1', '1', '2', '1', '2']"
2,1896,"['2', '1', '1', '2', '1']"
1,579,"['1', '1', '3', '4', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
3,604,['2']
1,1148,"['2', '1', '2', '1', '1', '1', '1', '1', '1', '1', '2', '1', '1']"
1,1108,"['1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '1', '1', '2', '1', '1']"
1,1392,"['1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1']"
3,444,['1']
4,1146,['1']
1,738,"['1', '2', '1', '2', '3', '4', '1', '2', '1', '1', '1', '1', '1', '1', '1']"
2,1507,"['1', '2', '2']"
4,332,['2']
2,328,"['2', '2', '1']"
2,590,"['1', '1', '2']"
1,1770,"['1', '1', '1', '1', '1', '1', '2', '2', '1', '2', '1', '1', '2', '1', '1']"
4,1651,['1']
1,1309,"['1', '2', '1', '2', '3', '1', '1', '1', '2', '1', '1', '1', '2', '1', '1', '2', '1', '2', '1']"
2,231,"['1', '1', '2', '2', '3']"
2,1756,"['1', '1']"
2,691,"['1', '1', '1']"
5,242,['1']
1,105,"['1', '1', '1', '1', '1', '1', '1', '1', '2']"
8,355,['3']
4,360,['1']
4,519,['2']
4,130,"['1', '1']"
4,216,['1']
1,595,"['1', '2', '1', '2', '3', '1', '1', '2', '1', '1', '1', '1', '1', '2', '2']"
2,365,"['2', '1', '1', '1']"
1,1267,"['1', '2', '1', '2', '1', '1', '1', '1', '3', '1', '2', '1', '2', '3', '1', '1']"
3,665,['2']
