BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating
11,130,1,2020-08-13 20:04:36,21.000000,"F0000",1,3
11,140,1,2020-08-11 20:39:23,26.000000,"F0000",1,1
11,146,1,2020-08-15 20:14:36,85.000000,"F0000",1,4
11,148,2,2020-08-16 20:03:59,90.000000,"F0000",1,5
11,148,2,2020-08-17 20:02:09,90.000000,"F0000",1,5
11,151,2,2020-08-15 20:14:36,12.000000,"F0000",2,4
11,151,2,2020-08-17 20:02:09,12.000000,"F0000",3,2
11,155,1,2020-08-13 20:04:36,27.000000,"F0000",2,3
11,155,1,2020-08-17 20:02:09,27.000000,"F0000",2,5
11,156,1,2020-08-18 17:38:24,30.000000,"F4702",2,5
11,157,1,2020-08-23 17:12:47,32.000000,"F2708",1,5
11,157,1,2020-08-24 17:17:53,32.000000,"F0000",1,1
11,159,1,2020-08-29 17:26:43,20.000000,"F3863",2,3
11,167,3,2020-08-28 17:14:28,10.000000,"F2025",1,3
11,170,1,2020-08-21 17:13:32,20.000000,"F2682",2,4
12,2,1,2020-08-19 17:14:01,8.000000,"F3022",1,3
12,2,1,2020-08-20 17:27:24,8.000000,"F3314",1,5
12,2,1,2020-08-22 17:20:27,8.000000,"F3863",1,4
12,15,1,2020-08-22 17:20:27,35.000000,"F3863",2,2
12,19,1,2020-08-24 17:18:11,20.000000,"F3567",1,1
12,19,2,2020-08-23 17:15:07,20.000000,"F2154",1,4
12,74,1,2020-08-28 17:18:37,25.000000,"F4486",1,1
12,107,1,2020-08-11 20:42:42,10.000000,"F0000",1,5
12,107,1,2020-08-23 17:36:25,10.000000,"F3556",1,5
12,107,1,2020-08-25 17:47:48,10.000000,"F2935",2,3
12,107,1,2020-08-28 17:18:37,10.000000,"F4486",2,4
12,123,1,2020-08-20 17:27:24,8.000000,"F3314",2,4
12,123,1,2020-08-25 17:47:48,8.000000,"F2935",1,2
12,123,1,2020-08-27 17:24:18,8.000000,"F3835",1,3
12,128,1,2020-08-13 20:05:17,25.000000,"F0000",1,5
12,128,1,2020-08-14 20:02:11,25.000000,"F0000",1,5
12,134,1,2020-08-12 20:03:48,15.000000,"F0000",1,1
12,148,1,2020-08-16 20:04:37,90.000000,"F0000",3,5
12,151,2,2020-08-15 20:15:52,12.000000,"F0000",1,5
12,151,3,2020-08-16 20:04:37,12.000000,"F0000",2,1
12,154,1,2020-08-13 20:05:17,22.000000,"F0000",2,2
12,159,1,2020-08-18 17:39:12,20.000000,"F1341",1,5
12,163,1,2020-08-21 17:13:43,20.000000,"F3811",1,4
12,164,1,2020-08-16 20:04:37,81.000000,"F0000",1,5
12,164,1,2020-08-17 20:02:24,81.000000,"F4284",1,2
12,168,1,2020-08-26 17:24:41,27.000000,"F4253",1,3
12,168,1,2020-08-27 17:24:18,27.000000,"F3835",2,2
12,169,1,2020-08-29 17:27:59,25.000000,"F6770",1,2
12,170,1,2020-08-23 17:36:25,20.000000,"F3556",2,4
13,2,1,2020-08-20 17:28:54,8.000000,"F3713",1,4
13,2,1,2020-08-21 17:13:46,8.000000,"F2452",1,4
13,2,1,2020-08-22 17:21:12,8.000000,"F4586",1,3
13,14,1,2020-08-23 17:36:33,10.000000,"F3493",1,5
13,107,1,2020-08-27 17:25:08,10.000000,"F3355",1,3
13,123,1,2020-08-18 17:44:52,8.000000,"F0000",1,2
13,123,1,2020-08-29 17:28:07,8.000000,"F4296",1,3
13,123,2,2020-08-19 17:15:18,8.000000,"F3135",1,5
13,128,1,2020-08-13 20:05:55,25.000000,"F0000",1,5
13,128,1,2020-08-14 20:02:28,25.000000,"F0000",1,5
13,130,1,2020-08-12 20:04:03,21.000000,"F0000",1,4
13,139,1,2020-08-13 20:05:55,21.000000,"F0000",2,3
13,139,1,2020-08-16 20:04:48,21.000000,"F0000",1,1
13,140,1,2020-08-11 20:43:18,26.000000,"F0000",1,1
13,146,2,2020-08-15 20:16:21,85.000000,"F0000",1,5
13,151,4,2020-08-15 20:16:21,12.000000,"F0000",2,1
13,156,1,2020-08-25 17:49:55,30.000000,"F1418",1,4
13,156,2,2020-08-26 17:27:42,30.000000,"F2513",1,1
13,159,1,2020-08-24 17:18:31,20.000000,"F3543",1,2
13,159,1,2020-08-28 17:18:42,20.000000,"F4277",1,3
13,164,1,2020-08-17 20:02:26,81.000000,"F4236",1,3
13,172,1,2020-08-27 17:25:08,80.000000,"F3355",2,5
14,2,1,2020-08-22 17:21:22,8.000000,"F4362",1,5
14,12,1,2020-08-12 20:04:39,30.000000,"F0000",2,3
14,12,1,2020-08-17 20:02:36,30.000000,"F2052",1,5
14,14,1,2020-08-25 18:00:11,10.000000,"F2664",2,5
14,25,1,2020-08-29 17:28:15,10.000000,"F2639",2,2
14,26,1,2020-08-25 18:00:11,5.000000,"F2664",1,4
14,107,1,2020-08-19 17:16:31,10.000000,"F3391",1,3
14,108,1,2020-08-28 17:18:48,20.000000,"F4268",1,4
14,123,1,2020-08-18 17:45:30,8.000000,"F0000",1,1
14,123,1,2020-08-20 17:32:40,8.000000,"F3262",1,1
14,123,1,2020-08-21 17:13:54,8.000000,"F3135",2,5
14,123,1,2020-08-22 17:21:22,8.000000,"F4362",2,3
14,123,1,2020-08-23 17:36:37,8.000000,"F3787",1,1
14,123,2,2020-08-23 17:17:04,8.000000,"F3270",1,4
14,123,2,2020-08-24 17:18:43,8.000000,"F4706",1,4
14,129,1,2020-08-13 20:06:41,16.000000,"F0000",2,3
14,130,1,2020-08-13 20:06:41,21.000000,"F0000",1,3
14,130,1,2020-08-17 20:02:36,21.000000,"F2052",3,1
14,134,1,2020-08-12 20:04:39,15.000000,"F0000",1,2
14,134,2,2020-08-11 20:45:00,15.000000,"F0000",1,1
14,135,1,2020-08-14 20:03:30,21.000000,"F0000",2,5
